"C_name","E_name","city","address","longitude","latitude","intro","year","count"
"陽明書屋","Yangmingshuwu","臺北市","臺北市北投區中興路12號",121.53893,25.161627,"陽明書屋原為日治時期日本領導精英的溫泉別墅區。蔣中正總統認為此處風景秀麗、景觀極佳，在此興建「中興賓館」，即陽明書屋之前身，做為接待外賓和往返中山樓主持會議及避暑之用。之後附近興建陽明山莊、中山樓，許多政府要員常至此開會，使陽明山成為國家政府的決策中心。","2012",39877
"陽明書屋","Yangmingshuwu","臺北市","臺北市北投區中興路12號",121.53893,25.161627,"陽明書屋原為日治時期日本領導精英的溫泉別墅區。蔣中正總統認為此處風景秀麗、景觀極佳，在此興建「中興賓館」，即陽明書屋之前身，做為接待外賓和往返中山樓主持會議及避暑之用。之後附近興建陽明山莊、中山樓，許多政府要員常至此開會，使陽明山成為國家政府的決策中心。","2013",36761
"陽明書屋","Yangmingshuwu","臺北市","臺北市北投區中興路12號",121.53893,25.161627,"陽明書屋原為日治時期日本領導精英的溫泉別墅區。蔣中正總統認為此處風景秀麗、景觀極佳，在此興建「中興賓館」，即陽明書屋之前身，做為接待外賓和往返中山樓主持會議及避暑之用。之後附近興建陽明山莊、中山樓，許多政府要員常至此開會，使陽明山成為國家政府的決策中心。","2014",35289
"陽明書屋","Yangmingshuwu","臺北市","臺北市北投區中興路12號",121.53893,25.161627,"陽明書屋原為日治時期日本領導精英的溫泉別墅區。蔣中正總統認為此處風景秀麗、景觀極佳，在此興建「中興賓館」，即陽明書屋之前身，做為接待外賓和往返中山樓主持會議及避暑之用。之後附近興建陽明山莊、中山樓，許多政府要員常至此開會，使陽明山成為國家政府的決策中心。","2015",39521
"陽明書屋","Yangmingshuwu","臺北市","臺北市北投區中興路12號",121.53893,25.161627,"陽明書屋原為日治時期日本領導精英的溫泉別墅區。蔣中正總統認為此處風景秀麗、景觀極佳，在此興建「中興賓館」，即陽明書屋之前身，做為接待外賓和往返中山樓主持會議及避暑之用。之後附近興建陽明山莊、中山樓，許多政府要員常至此開會，使陽明山成為國家政府的決策中心。","2016",34348
"陽明書屋","Yangmingshuwu","臺北市","臺北市北投區中興路12號",121.53893,25.161627,"陽明書屋原為日治時期日本領導精英的溫泉別墅區。蔣中正總統認為此處風景秀麗、景觀極佳，在此興建「中興賓館」，即陽明書屋之前身，做為接待外賓和往返中山樓主持會議及避暑之用。之後附近興建陽明山莊、中山樓，許多政府要員常至此開會，使陽明山成為國家政府的決策中心。","2017",32886
"陽明書屋","Yangmingshuwu","臺北市","臺北市北投區中興路12號",121.53893,25.161627,"陽明書屋原為日治時期日本領導精英的溫泉別墅區。蔣中正總統認為此處風景秀麗、景觀極佳，在此興建「中興賓館」，即陽明書屋之前身，做為接待外賓和往返中山樓主持會議及避暑之用。之後附近興建陽明山莊、中山樓，許多政府要員常至此開會，使陽明山成為國家政府的決策中心。","2018",93512
"陽明書屋","Yangmingshuwu","臺北市","臺北市北投區中興路12號",121.53893,25.161627,"陽明書屋原為日治時期日本領導精英的溫泉別墅區。蔣中正總統認為此處風景秀麗、景觀極佳，在此興建「中興賓館」，即陽明書屋之前身，做為接待外賓和往返中山樓主持會議及避暑之用。之後附近興建陽明山莊、中山樓，許多政府要員常至此開會，使陽明山成為國家政府的決策中心。","2019",117495
"陽明書屋","Yangmingshuwu","臺北市","臺北市北投區中興路12號",121.53893,25.161627,"陽明書屋原為日治時期日本領導精英的溫泉別墅區。蔣中正總統認為此處風景秀麗、景觀極佳，在此興建「中興賓館」，即陽明書屋之前身，做為接待外賓和往返中山樓主持會議及避暑之用。之後附近興建陽明山莊、中山樓，許多政府要員常至此開會，使陽明山成為國家政府的決策中心。","2020",89310
"陽明書屋","Yangmingshuwu","臺北市","臺北市北投區中興路12號",121.53893,25.161627,"陽明書屋原為日治時期日本領導精英的溫泉別墅區。蔣中正總統認為此處風景秀麗、景觀極佳，在此興建「中興賓館」，即陽明書屋之前身，做為接待外賓和往返中山樓主持會議及避暑之用。之後附近興建陽明山莊、中山樓，許多政府要員常至此開會，使陽明山成為國家政府的決策中心。","2021",33375
"陽明公園","Yangming Park","臺北市","臺北市北投區竹子湖路1-20號",121.54762,25.155744,"陽明山國家公園緊臨臺北都會區，全區以大屯火山群彙為主，面積約11,338公頃，由內政部營建署陽明山國家公園管理處管理，因火山活動造成的錐狀與鐘狀火山體、火口湖、硫氣孔、地熱與溫泉，具有研究及娛樂價值，受季風影響，植物相兼具高草原、矮草原、闊葉樹林、亞熱帶雨林與水生植物群落，孕育臺灣水韭、大屯杜鵑、蝴蝶與鳥類，陽明山公園栽植的櫻花及杜鵑，使本區成為臺北近郊最吸引人的賞花場所。","2012",1720800
